poi_id,poi_ind,rec_id,rec_ind
sg:5151b12b349d4b74b75a5f80fcbccbb0,1755,sg:ee31ae0756bb4363915ef00aca18f362,4727
sg:515461158fe442229d1f411638f43639,1756,sg:0e9b2d1e86954736b4ba4d7886eb65e6,334
sg:5177d4f8e2eb409b9cf7e1e6ccd38c11,1757,sg:c7423c7818a344cfb8bfaaa31f717ec1,4021
sg:518af7372cf74dd9a49aed08c525173f,1758,sg:c7423c7818a344cfb8bfaaa31f717ec1,4021
sg:5193d722281145d5835739e7293cee77,1759,sg:c7423c7818a344cfb8bfaaa31f717ec1,4021
sg:519aff9e5b564796a61bec9dc945c77d,1760,sg:c7423c7818a344cfb8bfaaa31f717ec1,4021
sg:51a576f686ff4295bfe1388a95922c77,1761,sg:6b47247b796e4bc7b62896ac02503440,2270
sg:51aaab97295a407b8f169e201f32038c,1762,sg:27f2186b419948c3bd92c5b910f000e7,930
sg:51b0b0a2457d49ac909b43fdaea97291,1763,sg:e9a5580fe24b4901abae7e34ce71696f,4654
sg:51c8f63c0f2245a9a7c5ad04676e0825,1764,sg:391dcca976df43d2bb8bd6947ebd21dc,1275
sg:51e084a2c99342348b6a8d6c7add8a90,1765,sg:4435703ae5b44067ae640db52da3459c,1502
sg:5204978e5e5542cab3f45cc241622352,1766,sg:b65e25fc66b74e65bec3fc230acbbe55,3709
sg:52259596d3694ed3a848f552c16f0c0f,1767,sg:f131fa73b3414f7dad65b75ce9da8d20,4775
sg:5238dff04fd54810b9a3f88ba552c2b7,1768,sg:ee31ae0756bb4363915ef00aca18f362,4727
sg:52410ebfa1cf430e95d7392f637aa69b,1769,sg:ce790f1f054f40a89ddd9effc89530fc,4143
sg:5244c3119f9a47d29111d20f8c413ea4,1770,sg:c7423c7818a344cfb8bfaaa31f717ec1,4021
sg:5249d148cc6e43eeb2d54def0c49f2f4,1771,sg:27f2186b419948c3bd92c5b910f000e7,930
sg:525909b87c0d440ba55dd09a303cb2fa,1772,sg:7c0e906af1b74907beeceb4bf1290147,2568
sg:525f25bb48a94d9a901d01698930d0ba,1773,sg:b65e25fc66b74e65bec3fc230acbbe55,3709
sg:526f5af588c3424199986751a1440bc3,1774,sg:6b47247b796e4bc7b62896ac02503440,2270
sg:526f66f188aa4fc2abfb1eb4f12300b3,1775,sg:7c0e906af1b74907beeceb4bf1290147,2568
sg:52762665cddf4b1c89f39e5fd9b56513,1776,sg:08157837a9064a4aa1af9a2cc65683da,183
sg:5277a76aea764685aef12371856dd619,1777,sg:d9ecf68bcaf946e29fd9b620b9806232,4358
sg:527a5bd4eb2f41dfb431adf04bd345f6,1778,sg:9c3ee043dfbe4499b8b552beebb9f83d,3190
sg:5282a51a95e448b0929d0fbf0dfa6e52,1779,sg:12758102bfe44d8aa99b342d2743e680,430
sg:529429cc70074e83860917ea421f6ecb,1780,sg:ee31ae0756bb4363915ef00aca18f362,4727
sg:52a6b5aa383a4850ac92f471ed8e40ca,1781,sg:1e2324ef5d3b460fa52f9e071672b81f,715
sg:52aaa2855cc44dfe967a3ca6a6dac9de,1782,sg:e6c1409135e6454bb7c6fe4ea0378bb7,4599
sg:52abd818efbc43c08d5c5ebe70a8724a,1783,sg:1e2324ef5d3b460fa52f9e071672b81f,715
sg:52bbfb6caac44d6288bc1c6af9ecc7de,1784,sg:f8eac82189214f47b182f0ac8370efd2,4939
sg:52cb14d120294f6cb981351cbc2f6ff4,1785,sg:ee31ae0756bb4363915ef00aca18f362,4727
sg:52cb6a791010492b919c95ebf71de9d0,1786,sg:d9ecf68bcaf946e29fd9b620b9806232,4358
sg:52d37c3b43f5474894f9f098755dad49,1787,sg:e9a5580fe24b4901abae7e34ce71696f,4654
