"","poi_id","poi_cbg","count_sum","bg_atl_dist_mean","med_income_poi","PRD","PID","X","count","group1_poi","group2_poi","group3_poi","group4_poi","group5_poi","white_poi","black_poi","other_poi","n_visit","visitor_home_cbg","new_cate","med_dist","location_name","top_category","sub_category","street_address","city","latitude","longitude","naics_code","GEOID","ALAND","AWATER","group1_home","group2_home","group3_home","group4_home","group5_home","white_home","black_home","other_home","disc_income","disc_race","income_ineq","race_ineq","white_domi","high_domi","white_disc","high_disc"
"1","sg:0001dabdf48949818a9321a48664ed7d",131210089023,8,3241.205138,102692,0.201100706,0.379120404,1,8,0.0428032683846638,0.0667968633084914,0.158738140133489,0.193786477507408,0.537875250665948,0.805264987489104,0.120092693565976,0.103163368660293,8,2,"retail",27713,"Bark and Board","Other Miscellaneous Store Retailers","Pet and Pet Supplies Stores","426 Trabert Ave NW","Atlanta",33.794199,-84.401705,453910,131210089023,1683489,206940,0.128233970753656,0.106861642294713,0.184476940382452,0.301462317210349,0.27896512935883,0.596407818277866,0.330692023243529,0.0729001584786054,0.517820242614236,0.449719709070479,0.688083456346711,0.802746662583421,0.798899293923128,0.6208795964802,0.419456498888791,0.27672976295939
"2","sg:000341e847414dd8b6c56938355c6133",131210073001,4,NA,30191,0.311368774,0.464376195,2,4,0.455265241488519,0.231195566112431,0.161520190023753,0.0958036421219319,0.056215360253365,0.0426726558113419,0.845030881527232,0.191184727681078,4,1,"others",14346,"First Baptist Church of Stewardship","Religious Organizations","Religious Organizations","330 Susy Griffin Rd SE","Atlanta",33.672909,-84.378859,813110,131210073001,4122516,57176,0.455265241488519,0.231195566112431,0.161520190023753,0.0958036421219319,0.056215360253365,0.0426726558113419,0.845030881527232,0.191184727681078,0,0,0.6000456152019,0.780499953396968,-0.68863122571589,-0.535623805225653,0,0
"3","sg:000ea200746a4572b9d93af810d00470",131210082021,4,12727.61677,18015,0.817170538,0.855698387,3,4,0.137490007993605,0.139088729016787,0.301358912869704,0.237410071942446,0.184652278177458,0.483320095313741,0.414217633042097,0.134233518665608,4,1,"others",12330,"Welcome All Missionary Baptist Church","Religious Organizations","Religious Organizations","755 Bolton Rd NW","Atlanta",33.775805,-84.502419,813110,131210082021,791152,0,0.534722222222222,0.197916666666667,0.177083333333333,0.0243055555555556,0.0659722222222222,0.0127931769722814,0.987206823027719,0,0.912120303756994,1.17774962699269,0.2846219696243,0.217746980937252,0.182829462271644,0.144301613109512,1.04351610832708,0.787844724220623
"4","sg:001686fe47e74c40892f7738ff8b9a45",131210096031,8,4494.956758,83021,-0.023251192,0.20941019,4,8,0.0529191128506197,0.0232644968585848,0.0558609709204518,0.177966319909362,0.689989099460982,0.927495950241457,0.0179717586649551,0.0545322910935876,8,2,"health/care services",6213,"Nancy Cahir PHD","Offices of Other Health Practitioners","Offices of Mental Health Practitioners (except Physicians)","455 E Paces Ferry Rd NE Ste 203","Atlanta",33.837622,-84.372781,621330,131210096031,504024,0,0.181818181818182,0.1306266548985,0.139452780229479,0.251544571932921,0.296557811120918,0.676891615541922,0.152692569870484,0.244717109747785,0.786862576680127,0.575509964559261,0.960670838740688,1.06803490048291,1.0232511915765,0.79058980966114,0.385325145905064,0.556114263323983
"5","sg:001b883fbd644444a2d9480fd269a8ef",131210052001,39,3509.0253385375,159219,0.903965091,0.923483569,5,39,0.280454806040198,0.171795711536968,0.170833395745681,0.163025595497038,0.213890491180116,0.470288721331488,0.487980812630261,0.0727197532044344,39,8,"others",22209,"Moreland Avenue Church of Christ","Religious Organizations","Religious Organizations","671 Moreland Ave SE","Atlanta",33.735851,-84.349621,813110,131210052001,624237,0,0.0437158469945355,0.120218579234973,0.0765027322404372,0.19672131147541,0.562841530054645,0.860074626865672,0.0886194029850746,0.0643656716417911,0.765293509705802,0.797501396742013,0.132211612080396,0.122631155496793,0.0960349087012277,-0.0765164309000119,-0.78914731517937,-0.670962846200558
"6","sg:00211358bfb746819de1c04e9f712721",131210100011,383,8434.26595807121,59538,0.672056606,0.864361273,6,383,0.174344264744466,0.142386704302971,0.219273470847056,0.18226927837397,0.271282417501772,0.556028884963299,0.341812490636829,0.127528570128704,383,67,"food place",35486,"Maggiano's Little Italy","Restaurants and Other Eating Places","Full-Service Restaurants","3368 Peachtree Rd NE","Atlanta",33.848302,-84.367446,722511,131210100011,1072702,0,0.20510483135825,0.0701914311759344,0.252506836827712,0.12306289881495,0.349134001823154,0.635324015247776,0.141677255400254,0.263024142312579,0.273247169601878,0.414925937704927,0.142307255981249,0.356155964455174,0.32794339432647,0.135638726828305,-0.279430365521052,-0.0600799112756145
"7","sg:002710cb886647cebcf103057ef44abc",131210095023,4,15765.1257,94764,0.171511912,0.908359033,7,4,0.104306220095694,0.174162679425837,0.350239234449761,0.243062200956938,0.12822966507177,0.028892455858748,0.971107544141252,0,4,1,"personal services",NA,"Suite Beauty at Buckhead","Personal Care Services","Beauty Salons","3060 Pharr Court North NW Ste 21","Atlanta",33.83873,-84.384625,812112,131210095023,541909,0,0.115089514066496,0.126598465473146,0.0959079283887468,0.382352941176471,0.280051150895141,0.696220930232558,0.214389534883721,0.111918604651163,0.603791040027411,1.5359650882825,0.397834229665072,0.927804088282504,-0.828488088282504,0.091640966507177,-1.42404648363134,-0.327893146024793
"8","sg:005c68b20fd64ea6914ddc6a7794ce10",131210100012,32,4780.87759444286,154688,0.139605661,0.453898633,10,32,0.0633750184459907,0.0846531647264568,0.156660266768394,0.190697449186873,0.504614100872286,0.844885125143707,0.0982177859896354,0.0835412771076037,32,8,"retail",3638,"Goldbergs Fine Foods Buckhead","Beer, Wine, and Liquor Stores","Beer, Wine, and Liquor Stores","4383 Roswell Rd NE","Atlanta",33.873999,-84.379947,445310,131210100012,973994,20472,0,0.0645879732739421,0.0868596881959911,0.262806236080178,0.585746102449889,0.811264822134387,0.156126482213439,0.0326086956521739,0.306481576941816,0.142461580688553,0.615383100118318,0.876169062046468,0.860394339154071,0.546101366886711,0.0915289992331233,-0.236680998369414
"9","sg:005e0f9c1bdc42cc9c6e668363f71ad3",131210035002,4,12927.07892,71750,0.148405436,0.409366087,11,4,0.450879007238883,0.255429162357808,0.176835573940021,0.0992761116856256,0.0175801447776629,0.0094577553593947,0.974779319041614,0.0157629255989912,4,1,"personal services",27136,"Salon Deon","Personal Care Services","Beauty Salons","222 Peters St SW Apt 9","Atlanta",33.748263,-84.400424,812112,131210035002,828755,0,0.150684931506849,0.0924657534246575,0.202054794520548,0.325342465753425,0.229452054794521,0.309294871794872,0.659455128205128,0.0576923076923077,0.926314969330369,0.65709068936528,0.639740339193381,0.935147638083228,-0.851594563682219,-0.590633913133403,-0.615161307271963,-0.901095748749842
"10","sg:0082b60532464b4e918e828d9df4a8f2",131210060003,97,3733.73469847059,32917,0.303603907,0.61786245,13,97,0.325284850112306,0.244802830943542,0.240780187497892,0.134243265549245,0.0548888658970144,0.0796683348331711,0.889791428210337,0.0424582124763084,97,18,"food place",6756,"RuChDa Wings","Restaurants and Other Eating Places","Limited-Service Restaurants","683 Cascade Ave SW","Atlanta",33.736807,-84.436461,722513,131210060003,399344,0,0.282548476454294,0.299168975069252,0.229916897506925,0.124653739612188,0.0637119113573407,0.0476730987514188,0.914869466515324,0.0533484676503973,0.126378379172072,0.0679635295608278,0.39697573710748,0.753253880900858,-0.696396093377166,-0.382137549609588,0.0570732743867389,0.0123962509444288
